Pollster,Start Date,End Date,Release Date/Time (ET),Number of Observations,Population,Mode,Favorable,Unfavorable,Undecided,Pollster URL,Source URL,Source URL
CNN,2012-11-02,2012-11-04,2012-11-04 20:16:09,693,Likely Voters,Phone,52,46,1,http://elections.huffingtonpost.com/pollster/polls/cnn-16606,http://i2.cdn.turner.com/cnn/2012/images/11/04/top16.pdf,http://i2.cdn.turner.com/cnn/2012/images/11/04/top16.pdf
PPP (D-Americans United for Change),2012-11-02,2012-11-04,2012-11-04 22:32:19,1200,Likely Voters,Automated Phone,50,47,3,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16610,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_113.pdf,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_113.pdf
Democracy Corps (D),2012-11-01,2012-11-04,2012-11-05 09:41:50,1080,Likely Voters,Phone,53,39,,http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-16617,http://big.assets.huffingtonpost.com/demcorpstracker.pdf,http://big.assets.huffingtonpost.com/demcorpstracker.pdf
Monmouth,2012-11-01,2012-11-04,2012-11-05 12:52:03,1417,Likely Voters,Mixed,47,44,8,http://elections.huffingtonpost.com/pollster/polls/monmouth-16634,http://cms.monmouth.edu/assets/0/84/159/2147483694/c8af3c69-d7c7-4f41-9749-99d4fa948484.pdf,http://cms.monmouth.edu/assets/0/84/159/2147483694/c8af3c69-d7c7-4f41-9749-99d4fa948484.pdf
DailyKos/SEIU/PPP (D),2012-11-01,2012-11-04,2012-11-05 13:31:31,1300,Likely Voters,Automated Phone,49,48,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-16640,http://www.dailykos.com/weeklypolling/2012/11/1,http://www.dailykos.com/weeklypolling/2012/11/1
NBC/WSJ,2012-11-01,2012-11-03,2012-11-04 09:12:21,1475,Likely Voters,Phone,49,45,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-16546,http://firstread.nbcnews.com/_news/2012/11/04/14924205-final-national-nbcwsj-poll-before-tuesday-obama-48-percent-romney-47-percent?lite,http://firstread.nbcnews.com/_news/2012/11/04/14924205-final-national-nbcwsj-poll-before-tuesday-obama-48-percent-romney-47-percent?lite
Purple Strategies,2012-10-31,2012-11-01,2012-11-02 12:31:41,1000,Likely Voters,Mixed,47,47,5,http://elections.huffingtonpost.com/pollster/polls/purple-strategies-16463,http://www.purplestrategies.com/wp-content/uploads/November110212_v4.pdf,http://www.purplestrategies.com/wp-content/uploads/November110212_v4.pdf
PPP (D-Americans United for Change),2012-10-30,2012-11-01,2012-11-02 05:46:11,1200,Likely Voters,Automated Phone,49,49,2,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16442,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_111.pdf,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_111.pdf
Politico/GWU/Battleground,2012-10-29,2012-11-01,2012-11-04 08:42:53,1000,Likely Voters,Phone,51,45,4,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16544,https://mediarelations.gwu.edu/sites/mediarelations.gwu.edu/files/downloads/Questionnaire%20and%20Results_6.pdf,https://mediarelations.gwu.edu/sites/mediarelations.gwu.edu/files/downloads/Questionnaire%20and%20Results_6.pdf
FOX,2012-10-28,2012-10-30,2012-10-31 18:19:21,1230,Registered Voters,Phone,53,45,2,http://elections.huffingtonpost.com/pollster/polls/fox-16385,http://www.foxnews.com/politics/interactive/2012/10/31/fox-news-poll-race-for-white-house-dead-heat/,http://www.foxnews.com/politics/interactive/2012/10/31/fox-news-poll-race-for-white-house-dead-heat/
YouGov/Economist,2012-10-27,2012-10-29,2012-10-31 10:50:02,1000,Adults,Internet,49,48,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16365,http://today.yougov.com/news/2012/10/31/hurricane-sandy-obama-one/,http://today.yougov.com/news/2012/10/31/hurricane-sandy-obama-one/
PPP (D-Americans United for Change),2012-10-26,2012-10-28,2012-10-29 09:34:59,1200,Likely Voters,Automated Phone,48,49,3,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16259,http://www.publicpolicypolling.com/pdf/2011/102610271028TrackerResults.pdf,http://www.publicpolicypolling.com/pdf/2011/102610271028TrackerResults.pdf
CBS/Times,2012-10-25,2012-10-28,2012-10-30 22:58:00,563,Likely Voters,Phone,46,46,7,http://elections.huffingtonpost.com/pollster/polls/cbs-times-16346,http://big.assets.huffingtonpost.com/OctQuin.pdf,http://big.assets.huffingtonpost.com/OctQuin.pdf
DailyKos/SEIU/PPP (D),2012-10-25,2012-10-28,2012-10-30 11:31:10,1400,Likely Voters,Automated Phone,48,49,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-16322,http://www.dailykos.com/weeklypolling/2012/10/25,http://www.dailykos.com/weeklypolling/2012/10/25
Pew,2012-10-24,2012-10-28,2012-10-29 13:56:16,2008,Adults,Phone,56,40,4,http://elections.huffingtonpost.com/pollster/polls/pew-16283,http://www.people-press.org/2012/10/29/presidential-race-dead-even-romney-maintains-turnout-edge/,http://www.people-press.org/2012/10/29/presidential-race-dead-even-romney-maintains-turnout-edge/
NPR,2012-10-23,2012-10-25,2012-10-30 09:17:17,1000,Likely Voters,Phone,51,48,2,http://elections.huffingtonpost.com/pollster/polls/npr-16310,http://media.npr.org/documents/2012/oct/NPROctpoll.pdf,http://media.npr.org/documents/2012/oct/NPROctpoll.pdf
PPP (D-Americans United for Change),2012-10-23,2012-10-25,2012-10-26 06:15:25,1200,Likely Voters,Automated Phone,48,49,3,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16177,http://www.publicpolicypolling.com/pdf/2011/102310241025Results.pdf,http://www.publicpolicypolling.com/pdf/2011/102310241025Results.pdf
Politico/GWU/Battleground,2012-10-22,2012-10-25,2012-10-29 09:14:17,1000,Likely Voters,Phone,51,47,2,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16258,http://images.politico.com/global/2012/10/politico_gwbgp_oct29_questionnaire.html,http://images.politico.com/global/2012/10/politico_gwbgp_oct29_questionnaire.html
AP-GfK,2012-10-19,2012-10-23,2012-10-25 10:14:51,1186,Adults,Phone,53,42,4,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-16135,http://ap-gfkpoll.com/main/wp-content/uploads/2012/10/AP-GfK-Poll-October-2012-Topline_POLITICS.pdf,http://ap-gfkpoll.com/main/wp-content/uploads/2012/10/AP-GfK-Poll-October-2012-Topline_POLITICS.pdf
YouGov/Economist,2012-10-20,2012-10-22,2012-10-23 10:27:03,1000,Adults,Internet,49,49,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16066,http://cdn.yougov.com/cumulus_uploads/document/75qcgwj577/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/75qcgwj577/econToplines.pdf
Democracy Corps (D),2012-10-18,2012-10-21,2012-10-22 12:40:46,1000,Likely Voters,Phone,50,43,,http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-16024,http://www.democracycorps.com/attachments/article/918/dcor.ecn.fq.102112.pol.v2.pdf,http://www.democracycorps.com/attachments/article/918/dcor.ecn.fq.102112.pol.v2.pdf
Monmouth,2012-10-18,2012-10-21,2012-10-22 12:39:44,1402,Likely Voters,Mixed,45,45,10,http://elections.huffingtonpost.com/pollster/polls/monmouth-16023,http://www.monmouth.edu/assets/0/84/159/2147483694/0e2e970e-a544-4f4d-8659-6233705b8ae7.pdf,http://www.monmouth.edu/assets/0/84/159/2147483694/0e2e970e-a544-4f4d-8659-6233705b8ae7.pdf
DailyKos/SEIU/PPP (D),2012-10-18,2012-10-21,2012-10-23 12:25:24,1300,Likely Voters,Automated Phone,47,49,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-16074,http://www.dailykos.com/weeklypolling/2012/10/18,http://www.dailykos.com/weeklypolling/2012/10/18
