sample.id,media,strain,time.pt,replicate,ACE2,ACT1,ADR1,AGA2,AMN1,ASG7,ASH1,BAR1,BCY1,BEM3,BMH1,CAF40,CAT8,CCR4,CDC24,CDC25,CDC26,CDC28,CDC36,CDC39,CDC42,CLB2,CLB3,CLB6,CLN1,CLN2,CLN3,CTS1,CYR1,DCP1,DHH1,DIG1,DIG2,DIT1,DIT2,DMC1,DOM34,DSE2,EDC3,FBP1,FIT3,FKH1,FKH2,FLO10,FLO8,FUS1,FUS3,GAL83,GAP1,GCN1,GCN20,GCN4,GDH3,GIS1,GLN3,GPA1,GPA2,GPB1,GPB2,GPR1,HOG1,HOP1,HOT1,HSP150,HXK2,IME1,IME2,IME4,INO1,INO2,IPP1,IRA1,IRA2,ISC10,KAR5,KEM1,KGD2,KSS1,MATALPHA1,MATALPHA2,MCK1,MEI4,MEP2,MEP3,MET3,MF(ALPHA)1,MGA1,MIG1,MKS1,MOT2,MSB2,MSI1,MSN1,MSN2,MSN4,MUC1,NDT80,NPR1,NRG1,OSW1,PAT1,PBS2,PDA1,PDE1,PDE2,PGU1,PHD1,PIR3,PKH2,POP2,PRM1,PRM2,PRR1,PTP2,PTP3,RAS1,RAS2,RGA1,RGT1,RGT2,RIM101,RIM11,RIM13,RIM15,RIM21,RIM4,RIM8,RIM9,RME1,RPB4,RPB7,RTG1,RTG3,SCH9,SFL1,SFP1,SGA1,SHO1,SIP4,SIT4,SKO1,SMP1,SNF1,SNF3,SNF4,SOK2,SPO16,SPO19,SPS1,SPS100,SPS2,SPT3,SSK1,SSK2,SSP2,SST2,SSY5,STE11,STE12,STE18,STE2,STE20,STE3,STE4,STE5,STE50,STE7,STP1,STP2,SUM1,SWI4,SWI5,SWI6,TAP42,TEC1,TEP1,TIR1,TOR1,TOR2,TPK1,TPK2,TPK3,TUB4,UME6,URE2,WHI3,XBP1,YAK1,YPD1,YSW1,ZIP1
cmtc 19,YEPLD,144,24.0,d,443.0833,95666.58,3741.833,26.5,647.75,50.33333,2495.5,28.58333,5702.75,825.5,26617.41,1752.416,1156.333,895.25,1553.416,1430.666,476.25,997.6666,1680.75,2348.0,4200.0,1799.833,1007.666,466.8333,1490.0,1186.583,4014.833,10002.0,1900.666,787.25,3541.25,934.9166,325.5,106.5833,35.75,43.16666,910.8333,2415.0,2232.75,12026.58,15384.33,845.0833,438.0,1123.0,401.1666,33.41666,65.5,1461.25,757.5,1771.583,1521.75,29807.25,4998.833,2742.666,449.6666,89.25,1663.0,571.5,1169.0,1048.75,3295.75,299.4166,159.3333,48901.5,34935.25,203.75,135.9166,486.0,883.75,552.8333,39638.41,1477.666,2824.0,389.5833,96.75,1834.5,6958.166,689.9166,45.75,670.0,2963.0,21.0,358.25,2662.0,1019.333,16.83333,122.5,602.25,542.8333,795.75,3053.75,624.75,562.0,1333.25,1601.0,19096.33,30.5,1265.583,1035.333,22.66666,855.4166,703.25,7716.25,814.4166,2009.333,270.75,1704.333,3905.333,520.6666,1065.5,18.08333,12.0,808.4166,982.6666,589.25,1197.25,1585.75,255.25,1929.166,431.75,1386.75,2540.833,535.1666,865.5,1217.583,228.75,283.3333,276.1666,240.1666,1631.916,2076.833,507.5,616.3333,923.5833,1107.0,2050.25,177.9166,967.4166,1287.583,2145.416,1235.833,148.8333,1367.833,1727.916,2106.25,1319.166,215.5833,72.0,79.58333,316.0,9.25,511.75,727.1666,660.4166,39.91666,310.75,528.1666,407.8333,778.6666,55.58333,171.4166,1350.333,114.5,14.83333,143.0833,344.9166,492.25,1140.333,633.75,1304.416,679.0833,368.3333,713.8333,375.6666,291.3333,61.16666,6384.5,578.25,496.5833,1396.75,2190.416,418.9166,949.0,458.9166,1092.0,2273.083,736.5833,1969.166,1414.666,191.0833,24.25
cmtc 35,YEPLD,144,48.0,d,163.8333,50803.66,2637.5,31.58333,312.75,39.83333,1882.666,20.41666,7198.083,388.5833,10299.5,948.5,891.25,466.75,867.6666,691.25,496.6666,427.8333,1216.083,1330.666,2192.75,761.0,526.75,170.4166,977.0,522.5833,5019.0,14326.91,1026.416,612.3333,1953.583,535.75,204.5,180.0,37.41666,41.75,590.75,1682.5,1639.25,17116.25,15667.41,482.25,248.0,2402.5,225.25,15.66666,78.66666,801.5,453.1666,785.9166,859.8333,20065.25,11941.41,2278.833,255.75,85.08333,1297.083,320.6666,816.0833,773.25,1728.5,229.8333,146.5,32768.16,8774.5,186.3333,71.16666,276.1666,652.4166,627.5,13418.41,914.8333,3076.583,214.8333,64.5,883.6666,8060.583,444.75,35.0,680.8333,1802.0,7.416666,264.3333,2792.0,561.1666,26.16666,220.25,544.75,355.5833,316.25,2075.416,418.9166,373.0833,581.25,1157.75,70647.16,27.41666,704.0833,904.5833,47.91666,621.25,324.9166,9466.75,572.9166,3970.416,283.4166,1504.5,3617.333,475.5,540.3333,30.33333,13.83333,431.0833,502.9166,457.8333,554.0833,1003.333,131.8333,1462.583,360.25,1103.75,1389.416,239.5,411.1666,731.25,345.5,251.1666,211.9166,193.1666,1246.0,1260.0,403.8333,488.0,565.5,720.3333,1202.333,154.6666,399.75,1050.0,1368.333,666.6666,140.8333,512.1666,1178.333,1074.083,793.5833,119.1666,51.58333,45.0,1430.666,18.58333,379.75,302.25,272.75,11.58333,199.1666,311.25,288.5,365.3333,16.75,99.83333,844.0,122.1666,22.75,93.25,267.75,279.25,927.4166,516.5,603.6666,243.75,114.5,392.9166,334.6666,292.0833,56.25,3306.5,259.4166,235.0,673.0833,1284.25,297.5,438.0833,330.5833,643.6666,1586.0,835.5,1549.583,744.6666,106.4166,24.91666
cmtc 51,YEPLD,144,72.0,d,125.6666,27340.41,2899.916,20.75,208.0833,24.66666,1166.75,11.25,5566.666,247.9166,7806.333,408.0,638.5,279.5833,550.6666,460.4166,289.0,222.75,721.3333,782.6666,1281.666,308.8333,244.25,74.66666,482.0833,184.75,2035.333,8791.0,574.5,202.5833,1041.333,349.9166,95.25,101.6666,19.58333,18.5,220.25,887.4166,958.25,10458.33,11593.0,259.8333,128.6666,3916.25,115.4166,29.25,82.66666,445.1666,382.8333,413.1666,453.6666,16673.16,9396.916,1718.0,195.1666,59.25,866.75,236.5833,511.1666,604.8333,1081.166,134.6666,62.33333,21303.91,2185.75,182.0,50.33333,144.5,538.9166,361.75,6793.666,684.1666,2425.5,108.9166,43.33333,564.8333,7460.416,250.75,27.58333,262.5,796.8333,13.08333,231.1666,1634.0,165.0,5.0,159.25,304.3333,200.0,212.0833,1533.25,255.8333,189.0,368.8333,704.5,65083.5,15.5,590.25,519.1666,22.83333,296.1666,265.0833,6211.583,395.0,1859.083,168.1666,985.25,4927.0,233.25,271.25,8.083333,9.583333,215.1666,300.0,388.25,241.3333,324.3333,97.58333,1132.916,253.6666,1011.916,930.5,191.5833,340.1666,332.3333,432.25,146.8333,118.0833,91.0,441.6666,468.0833,293.5833,420.8333,284.5833,529.5833,619.75,162.0833,177.25,1216.083,913.0833,374.0,78.66666,336.1666,651.25,501.8333,488.1666,66.83333,26.66666,45.75,3238.083,17.16666,187.75,179.3333,197.75,14.08333,105.1666,227.5,150.25,171.75,37.41666,70.83333,402.9166,121.5833,33.0,54.16666,131.3333,154.0833,742.1666,343.8333,358.0,142.5833,89.16666,218.0833,140.0,274.6666,34.83333,821.0,205.25,156.9166,313.0,810.25,137.5,174.5,225.0,320.25,764.0,838.5,1370.666,267.5833,56.25,30.66666
cmtc 67,YEPLD,144,96.0,d,43.83333,17063.33,4598.583,31.66666,85.91666,24.16666,537.5833,11.91666,5836.916,199.3333,5398.0,358.25,617.0833,196.6666,427.0,261.3333,239.25,146.4166,518.75,677.9166,848.6666,131.4166,208.25,53.08333,211.5,59.91666,1707.416,7769.166,568.5833,110.0,1267.5,215.9166,91.33333,78.0,38.08333,223.0,74.33333,412.25,646.0,22219.75,8450.0,158.0833,96.25,786.25,103.5,8.833333,25.91666,333.5833,914.5833,362.75,247.0833,12508.66,6767.0,2106.083,186.0,41.41666,663.0,136.5,456.1666,505.1666,586.5833,267.5,88.0,28868.58,530.6666,714.75,398.25,134.9166,2321.166,253.1666,2909.583,967.25,2538.666,165.5833,18.08333,404.4166,3221.583,120.0833,20.66666,203.3333,576.0,14.08333,321.0,877.6666,139.8333,5.666666,68.66666,137.75,173.75,221.5,1596.416,193.0833,154.5,317.25,341.1666,48501.33,94.33333,479.3333,697.5833,201.8333,163.5833,160.5,5021.75,290.5833,1019.0,143.8333,826.1666,7311.416,249.0833,191.5,10.83333,15.83333,205.3333,294.75,370.4166,117.0833,127.4166,22.08333,1435.083,175.4166,1181.083,1068.583,169.5833,387.25,309.5,807.0,71.75,149.9166,45.25,338.0,464.9166,235.0833,325.25,281.5,706.8333,446.9166,380.1666,171.1666,3860.083,554.3333,242.0,51.08333,210.25,628.4166,277.6666,274.0,226.0,492.1666,301.4166,9738.416,436.3333,168.0,285.6666,188.75,106.6666,82.83333,92.66666,66.58333,129.25,27.91666,34.08333,231.0833,180.0,19.33333,58.0,62.66666,142.0,601.9166,257.6666,345.0,99.0,23.41666,114.8333,40.33333,125.25,122.5,264.3333,213.1666,148.5833,352.5,774.0833,49.08333,187.5,219.0,183.0833,747.5833,1890.833,1113.333,151.9166,177.5,55.58333
cmtc 99,YEPLD,144,24.0,e,476.25,95666.58,4200.0,24.25,443.0833,61.16666,2963.0,39.91666,6384.5,895.25,29807.25,1386.75,1461.25,825.5,1430.666,1367.833,438.0,1065.5,1771.583,2495.5,4014.833,1727.916,1197.25,542.8333,1601.0,1007.666,3741.833,6958.166,2106.25,1035.333,3905.333,982.6666,389.5833,96.75,43.16666,55.58333,923.5833,2009.333,2348.0,12026.58,15384.33,1123.0,535.1666,967.4166,458.9166,35.75,30.5,1553.416,633.75,1585.75,1704.333,26617.41,4998.833,2662.0,358.25,122.5,1752.416,578.25,1333.25,1092.0,3295.75,344.9166,215.5833,48901.5,34935.25,203.75,177.9166,528.1666,757.5,401.1666,39638.41,1477.666,2540.833,466.8333,114.5,1834.5,7716.25,679.0833,33.41666,778.6666,2415.0,9.25,291.3333,2273.083,814.4166,16.83333,79.58333,602.25,713.8333,883.75,2742.666,647.75,727.1666,1140.333,1631.916,19096.33,21.0,1048.75,808.4166,26.5,1019.333,795.75,10002.0,855.4166,1799.833,255.25,1287.583,3541.25,689.9166,1107.0,12.0,18.08333,670.0,949.0,431.75,1319.166,1929.166,316.0,1680.75,325.5,1396.75,3053.75,418.9166,736.5833,1217.583,228.75,283.3333,240.1666,270.75,1969.166,1900.666,562.0,552.8333,787.25,997.6666,2050.25,143.0833,865.5,1169.0,2190.416,1235.833,171.4166,1490.0,1663.0,2232.75,1156.333,191.0833,72.0,89.25,276.1666,14.83333,571.5,934.9166,624.75,50.33333,299.4166,496.5833,368.3333,703.25,28.58333,159.3333,1350.333,106.5833,22.66666,135.9166,407.8333,511.75,1265.583,616.3333,1304.416,845.0833,486.0,910.8333,375.6666,310.75,65.5,5702.75,492.25,507.5,1521.75,2824.0,449.6666,660.4166,520.6666,1186.583,2076.833,589.25,2145.416,1414.666,148.8333,45.75
cmtc 115,YEPLD,144,48.0,e,220.25,50803.66,3970.416,41.75,502.9166,31.58333,1802.0,20.41666,7198.083,388.5833,9466.75,904.5833,914.8333,590.75,867.6666,793.5833,403.8333,365.3333,1103.75,1284.25,2278.833,785.9166,438.0833,163.8333,883.6666,411.1666,3617.333,14326.91,1074.083,373.0833,2075.416,603.6666,170.4166,154.6666,45.0,39.83333,355.5833,1953.583,1586.0,17116.25,15667.41,516.5,267.75,3076.583,264.3333,27.41666,56.25,801.5,666.6666,844.0,761.0,20065.25,11941.41,2192.75,255.75,85.08333,1246.0,330.5833,773.25,835.5,1682.5,214.8333,106.4166,32768.16,8060.583,114.5,51.58333,283.4166,744.6666,565.5,13418.41,977.0,2792.0,225.25,71.16666,1050.0,8774.5,457.8333,30.33333,612.3333,1639.25,11.58333,334.6666,2637.5,621.25,7.416666,199.1666,427.8333,272.75,444.75,2402.5,453.1666,292.0833,581.25,1003.333,70647.16,37.41666,816.0833,652.4166,13.83333,561.1666,379.75,10299.5,627.5,1728.5,302.25,1330.666,5019.0,324.9166,418.9166,15.66666,64.5,392.9166,482.25,522.5833,496.6666,927.4166,193.1666,1549.583,288.5,1157.75,1430.666,279.25,544.75,673.0833,466.75,229.8333,131.8333,180.0,1026.416,1216.083,360.25,554.0833,572.9166,891.25,1178.333,251.1666,512.1666,1389.416,1297.083,643.6666,140.8333,691.25,1260.0,948.5,704.0833,93.25,24.91666,78.66666,1882.666,16.75,316.25,488.0,311.25,26.16666,211.9166,259.4166,239.5,399.75,35.0,122.1666,720.3333,146.5,22.75,99.83333,243.75,248.0,859.8333,475.5,680.8333,320.6666,204.5,345.5,186.3333,431.0833,47.91666,3306.5,312.75,297.5,731.25,1368.333,235.0,540.3333,276.1666,535.75,1462.583,1202.333,1504.5,526.75,119.1666,18.58333
cmtc 131,YEPLD,144,72.0,e,128.6666,21303.91,3238.083,27.58333,212.0833,14.08333,1216.083,45.75,4927.0,225.0,7806.333,408.0,721.3333,267.5833,529.5833,420.8333,271.25,227.5,704.5,782.6666,1132.916,274.6666,220.25,66.83333,488.1666,195.1666,2185.75,8791.0,638.5,182.0,958.25,324.3333,101.6666,91.0,24.66666,34.83333,177.25,821.0,913.0833,10458.33,16673.16,253.6666,125.6666,2035.333,142.5833,22.83333,74.66666,441.6666,538.9166,395.0,388.25,11593.0,9396.916,1859.083,179.3333,56.25,930.5,218.0833,574.5,590.25,887.4166,144.5,54.16666,27340.41,2425.5,296.1666,50.33333,140.0,604.8333,358.0,7460.416,742.1666,2899.916,78.66666,33.0,482.0833,6793.666,244.25,26.66666,279.5833,796.8333,19.58333,189.0,1634.0,174.5,11.25,184.75,313.0,162.0833,247.9166,1718.0,289.0,231.1666,368.8333,619.75,65083.5,15.5,501.8333,564.8333,30.66666,265.0833,202.5833,6211.583,413.1666,1533.25,197.75,985.25,3916.25,241.3333,255.8333,8.083333,9.583333,208.0833,343.8333,402.9166,205.25,332.3333,82.66666,1166.75,262.5,1081.166,1011.916,200.0,320.25,340.1666,468.0833,154.0833,131.3333,108.9166,432.25,511.1666,284.5833,453.6666,293.5833,519.1666,550.6666,191.5833,165.0,1281.666,838.5,349.9166,97.58333,336.1666,651.25,445.1666,460.4166,59.25,43.33333,17.16666,5566.666,13.08333,171.75,259.8333,250.75,5.0,95.25,159.25,118.0833,156.9166,20.75,70.83333,382.8333,146.8333,18.5,89.16666,134.6666,168.1666,810.25,304.3333,361.75,137.5,105.1666,222.75,115.4166,308.8333,29.25,684.1666,187.75,150.25,374.0,866.75,121.5833,233.25,215.1666,300.0,764.0,1041.333,1370.666,236.5833,62.33333,37.41666
cmtc 147,YEPLD,144,96.0,e,62.66666,22219.75,3860.083,53.08333,205.3333,23.41666,714.75,15.83333,5398.0,163.5833,5021.75,436.3333,492.1666,277.6666,456.1666,325.25,203.3333,149.9166,464.9166,628.4166,1068.583,247.0833,196.6666,40.33333,341.1666,208.25,2106.083,8450.0,505.1666,146.4166,1435.083,242.0,96.25,131.4166,22.08333,99.0,88.0,774.0833,747.5833,17063.33,12508.66,173.75,94.33333,1019.0,143.8333,11.91666,45.25,301.4166,663.0,398.25,221.5,9738.416,7311.416,2321.166,139.8333,27.91666,576.0,137.75,387.25,412.25,677.9166,223.0,59.91666,28868.58,1267.5,568.5833,281.5,134.9166,1890.833,294.75,4598.583,706.8333,2909.583,122.5,18.08333,352.5,3221.583,120.0833,20.66666,187.5,826.1666,14.08333,253.1666,1181.083,231.0833,8.833333,106.6666,148.5833,74.33333,186.0,1707.416,239.25,127.4166,261.3333,427.0,48501.33,58.0,479.3333,530.6666,78.0,210.25,191.5,5836.916,267.5,967.25,151.9166,848.6666,6767.0,201.8333,188.75,19.33333,10.83333,285.6666,321.0,380.1666,142.0,177.5,34.08333,1113.333,235.0833,786.25,877.6666,211.5,345.0,333.5833,537.5833,49.08333,168.0,110.0,290.5833,586.5833,125.25,317.25,358.25,554.3333,601.9166,362.75,160.5,2538.666,617.0833,257.6666,85.91666,193.0833,646.0,370.4166,338.0,219.0,446.9166,183.0833,7769.166,136.5,154.5,274.0,171.1666,25.91666,117.0833,91.33333,82.83333,129.25,31.66666,66.58333,226.0,213.1666,5.666666,71.75,55.58333,114.8333,404.4166,199.3333,264.3333,103.5,38.08333,92.66666,51.08333,158.0833,41.41666,518.75,180.0,169.5833,309.5,697.5833,43.83333,249.0833,215.9166,165.5833,807.0,1596.416,914.5833,175.4166,68.66666,24.16666
cmtc 179,YEPLD,144,24.0,f,520.6666,95666.58,4014.833,24.25,542.8333,50.33333,2415.0,28.58333,5702.75,825.5,26617.41,1601.0,1319.166,808.4166,1333.25,1461.25,358.25,949.0,1771.583,2540.833,4200.0,1680.75,1065.5,418.9166,1631.916,997.6666,3741.833,7716.25,1929.166,982.6666,3905.333,1048.75,401.1666,106.5833,43.16666,55.58333,923.5833,2190.416,2232.75,12026.58,15384.33,967.4166,535.1666,1007.666,458.9166,35.75,45.75,1553.416,689.9166,1834.5,1663.0,29807.25,4998.833,2742.666,407.8333,114.5,1752.416,571.5,1350.333,1156.333,3541.25,291.3333,177.9166,48901.5,34935.25,159.3333,135.9166,528.1666,1430.666,476.25,39638.41,1477.666,2662.0,389.5833,122.5,2009.333,6958.166,589.25,22.66666,814.4166,2963.0,16.83333,299.4166,2348.0,703.25,12.0,96.75,602.25,660.4166,795.75,3053.75,562.0,670.0,1197.25,1367.833,19096.33,18.08333,1123.0,1035.333,21.0,1019.333,778.6666,10002.0,855.4166,1704.333,255.25,1521.75,3295.75,647.75,934.9166,33.41666,14.83333,736.5833,910.8333,438.0,1169.0,1900.666,316.0,1727.916,344.9166,1414.666,2824.0,466.8333,757.5,1217.583,270.75,325.5,240.1666,215.5833,1799.833,2076.833,552.8333,679.0833,865.5,1140.333,2050.25,143.0833,787.25,1107.0,1969.166,1265.583,191.0833,1490.0,1585.75,2145.416,1092.0,228.75,89.25,72.0,283.3333,9.25,507.5,895.25,633.75,39.91666,276.1666,511.75,375.6666,616.3333,26.5,203.75,1304.416,79.58333,30.5,148.8333,368.3333,496.5833,1235.833,624.75,1287.583,727.1666,431.75,883.75,449.6666,310.75,65.5,6384.5,578.25,486.0,1386.75,2495.5,443.0833,845.0833,492.25,1186.583,2273.083,713.8333,2106.25,1396.75,171.4166,61.16666
cmtc 195,YEPLD,144,48.0,f,211.9166,50803.66,3617.333,26.16666,334.6666,64.5,1882.666,18.58333,7198.083,453.1666,11941.41,867.6666,948.5,427.8333,927.4166,704.0833,399.75,418.9166,1178.333,1246.0,2192.75,891.25,438.0833,186.3333,904.5833,482.25,5019.0,14326.91,1050.0,581.25,1953.583,544.75,199.1666,114.5,39.83333,37.41666,526.75,1549.583,1728.5,17116.25,15667.41,535.75,292.0833,2792.0,229.8333,22.75,7.416666,793.5833,673.0833,859.8333,816.0833,20065.25,10299.5,2075.416,267.75,93.25,1389.416,297.5,844.0,835.5,1802.0,140.8333,154.6666,32768.16,8060.583,180.0,78.66666,360.25,652.4166,540.3333,13418.41,1026.416,3970.416,193.1666,56.25,914.8333,8774.5,512.1666,31.58333,773.25,1586.0,30.33333,345.5,2637.5,565.5,16.75,146.5,496.6666,283.4166,388.5833,2402.5,457.8333,330.5833,561.1666,1003.333,70647.16,45.0,720.3333,801.5,51.58333,627.5,324.9166,9466.75,590.75,2278.833,311.25,1430.666,3306.5,392.9166,554.0833,15.66666,41.75,355.5833,522.5833,516.5,612.3333,1074.083,170.4166,1504.5,288.5,1260.0,1462.583,279.25,466.75,744.6666,379.75,243.75,204.5,225.25,1216.083,1103.75,316.25,475.5,488.0,731.25,1202.333,131.8333,444.75,1284.25,1297.083,680.8333,106.4166,603.6666,1157.75,883.6666,761.0,119.1666,47.91666,85.08333,1639.25,20.41666,365.3333,276.1666,302.25,11.58333,220.25,320.6666,248.0,411.1666,27.41666,71.16666,785.9166,163.8333,13.83333,99.83333,239.5,312.75,977.0,502.9166,643.6666,255.75,214.8333,431.0833,264.3333,403.8333,24.91666,3076.583,272.75,235.0,666.6666,1330.666,251.1666,373.0833,259.4166,572.9166,1368.333,691.25,1682.5,621.25,122.1666,35.0
